"MovieTitle","MovieID","MovieURL","ReleaseYear","IMDBRating","NumberOfUsersRated","DurationMins","ReleaseDate","Genre1","Genre2","Genre3","NumIMDBUserReviews","NumIMDBCriticReviews","DirectorName","DirectorID","DirectorURL","Star1Name","Star1ID","Star1URL","Star2Name","Star2ID","Star2URL","Star3Name","Star3ID","Star3URL","BoxOfficeBudget","BoxOfficeBudgetCurr","BoxOfficeOpeningWeekend","BoxOfficeOpeningWeekendCurr","BoxOfficeGross","BoxOfficeGrossCurr","NumberOfOscars"
"A Bigger Splash","tt2056771","http://www.imdb.com/title/tt2056771/","2015","6.2","230","120"," 13 May 2016
(USA)
","Crime","Drama","Mystery","230","51","Luca Guadagnino",NA,NA,"Ralph Fiennes","nm0000146","/name/nm0000146/","Dakota Johnson","nm0424848","/name/nm0424848/","Tilda Swinton","nm0842770","/name/nm0842770/"," 
  Show detailed
company contact information
  on 
  IMDbPro »
  ",NA,"",NA,"Technical Specs","NA","0"
"Midnight Special","tt2649554","http://www.imdb.com/title/tt2649554/","2015",NA,NA,NA," 18 March 2016
(USA)
","Drama","Sci-Fi",NA,NA,NA,"Jeff Nichols",NA,NA,"Joel Edgerton","nm0249291","/name/nm0249291/","Kirsten Dunst","nm0000379","/name/nm0000379/","Adam Driver","nm3485845","/name/nm3485845/","Technical Specs",NA,"
    Color:
        Color
    ",NA,"
    Aspect Ratio: 2.35 : 1
    ","NA","0"
"The Little Prince","tt1754656","http://www.imdb.com/title/tt1754656/","2015","7.8","3828","108"," 18 March 2016
(USA)
","Animation","Fantasy",NA,"3828","48","Mark Osborne",NA,NA,"Rachel McAdams","nm1046097","/name/nm1046097/","Mackenzie Foy","nm3237775","/name/nm3237775/","Paul Rudd","nm0748620","/name/nm0748620/","81200000","USD","
    See more »
  ",NA,"","NA","0"
"Regression","tt3319920","http://www.imdb.com/title/tt3319920/","2015","5.9","2959","106"," 5 February 2016
(USA)
","Horror","Mystery","Thriller","2959","70","Alejandro Amenábar",NA,NA,"Emma Watson","nm0914612","/name/nm0914612/","Ethan Hawke","nm0000160","/name/nm0000160/","Devon Bostick","nm1256602","/name/nm1256602/"," 
  Show detailed
company contact information
  on 
  IMDbPro »
  ",NA,"",NA,"Technical Specs","NA","0"
"Jane Got a Gun","tt2140037","http://www.imdb.com/title/tt2140037/","2015",NA,"2","98"," February 2016
(USA)
","Action","Drama","Western","2 critic",NA,"Gavin O'Connor",NA,NA,"Natalie Portman","nm0000204","/name/nm0000204/","Ewan McGregor","nm0000191","/name/nm0000191/","Rodrigo Santoro","nm0763928","/name/nm0763928/","",NA,"Company Credits",NA,"
    Production Co:
        
1821 Pictures,        
Boies / Schiller Film Group,        
Handsomecharlie Films      
        See more »
      
    ","NA","0"
"The Hateful Eight","tt3460252","http://www.imdb.com/title/tt3460252/","2015",NA,NA,"182"," 8 January 2016
(USA)
","Western",NA,NA,NA,NA,"Quentin Tarantino",NA,NA,"Channing Tatum","nm1475594","/name/nm1475594/","Jennifer Jason Leigh","nm0000492","/name/nm0000492/","Walton Goggins","nm0324658","/name/nm0324658/","44000000","USD","
    See more »
  ",NA,"","NA","0"
"The Revenant","tt1663202","http://www.imdb.com/title/tt1663202/","2015",NA,NA,"151"," 8 January 2016
(USA)
","Adventure","Drama","Western",NA,NA,"Alejandro González Iñárritu",NA,NA,"Tom Hardy","nm0362766","/name/nm0362766/","Leonardo DiCaprio","nm0000138","/name/nm0000138/","Domhnall Gleeson","nm1727304","/name/nm1727304/","135000000","USD","
    See more »
  ",NA,"","NA","0"
"Joy","tt2446980","http://www.imdb.com/title/tt2446980/","2015",NA,NA,NA," 25 December 2015
(USA)
","Biography","Comedy","Drama",NA,NA,"David O. Russell",NA,NA,"Jennifer Lawrence","nm2225369","/name/nm2225369/","Bradley Cooper","nm0177896","/name/nm0177896/","Robert De Niro","nm0000134","/name/nm0000134/","
    Production Co:
        
Annapurna Pictures,        
Davis Entertainment      
        See more »
      
    ",NA," 
  Show detailed
company contact information
  on 
  IMDbPro »
  ",NA,"","NA","0"
"Point Break","tt2058673","http://www.imdb.com/title/tt2058673/","2015",NA,NA,"113"," 25 December 2015
(USA)
","Action","Crime","Thriller",NA,NA,"Ericson Core",NA,NA,"Teresa Palmer","nm1954240","/name/nm1954240/","Luke Bracey","nm3478396","/name/nm3478396/","Tobias Santelmann","nm4083737","/name/nm4083737/","100000000","USD","
    See more »
  ",NA,"","NA","0"
"Sisters","tt1850457","http://www.imdb.com/title/tt1850457/","2015",NA,NA,"118"," 18 December 2015
(USA)
","Comedy",NA,NA,NA,NA,"Jason Moore",NA,NA,"Amy Poehler","nm0688132","/name/nm0688132/","Heather Matarazzo","nm0000525","/name/nm0000525/","John Cena","nm1078479","/name/nm1078479/","
    Production Co:
        
Little Stranger      
        See more »
      
    ",NA," 
  Show detailed
company contact information
  on 
  IMDbPro »
  ",NA,"","NA","0"
"Alvin and the Chipmunks: The Road Chip","tt2974918","http://www.imdb.com/title/tt2974918/","2015",NA,NA,"86"," 18 December 2015
(USA)
","Animation","Adventure","Comedy",NA,NA,"Walt Becker",NA,NA,"Kaley Cuoco","nm0192505","/name/nm0192505/","Bella Thorne","nm2254074","/name/nm2254074/","Anna Faris","nm0267506","/name/nm0267506/"," 
  Show detailed
company contact information
  on 
  IMDbPro »
  ",NA,"",NA,"Technical Specs","NA","0"
"Star Wars: Episode VII - The Force Awakens","tt2488496","http://www.imdb.com/title/tt2488496/","2015",NA,NA,"135"," 18 December 2015
(USA)
","Action","Adventure","Fantasy",NA,NA,"J.J. Abrams",NA,NA,"Harrison Ford","nm0000148","/name/nm0000148/","Mark Hamill","nm0000434","/name/nm0000434/","Carrie Fisher","nm0000402","/name/nm0000402/","
    Production Co:
        
Lucasfilm,        
Bad Robot,        
Truenorth Productions      
        See more »
      
    ",NA," 
  Show detailed
company contact information
  on 
  IMDbPro »
  ",NA,"","NA","0"
"In the Heart of the Sea","tt1390411","http://www.imdb.com/title/tt1390411/","2015",NA,"1","121"," 11 December 2015
(USA)
","Action","Adventure","Drama","1 critic",NA,"Ron Howard",NA,NA,"Chris Hemsworth","nm1165110","/name/nm1165110/","Cillian Murphy","nm0614165","/name/nm0614165/","Brendan Gleeson","nm0322407","/name/nm0322407/","
    Production Co:
        
Cott Productions,        
Enelmar Productions, A.I.E.,        
Imagine Entertainment      
        See more »
      
    ",NA," 
  Show detailed
company contact information
  on 
  IMDbPro »
  ",NA,"","NA","0"
"Krampus","tt3850590","http://www.imdb.com/title/tt3850590/","2015",NA,"1","98"," 4 December 2015
(USA)
","Comedy","Fantasy","Horror","1 critic",NA,"Michael Dougherty",NA,NA,"Allison Tolman","nm2798112","/name/nm2798112/","Toni Collette","nm0001057","/name/nm0001057/","Adam Scott","nm0004395","/name/nm0004395/","15000000","USD","
    See more »
  ",NA,"","NA","0"
"Every Thing Will Be Fine","tt1707380","http://www.imdb.com/title/tt1707380/","2015","5.5","1938","118"," 4 December 2015
(USA)
","Drama",NA,NA,"1938","89","Wim Wenders",NA,NA,"Rachel McAdams","nm1046097","/name/nm1046097/","James Franco","nm0290556","/name/nm0290556/","Peter Stormare","nm0001780","/name/nm0001780/","
    Production Co:
        
Neue Road Movies,        
Montauk Productions,        
Göta Film      
        See more »
      
    ",NA," 
  Show detailed
company contact information
  on 
  IMDbPro »
  ",NA,"","NA","0"
"Victor Frankenstein","tt1976009","http://www.imdb.com/title/tt1976009/","2015",NA,"1","109"," 25 November 2015
(USA)
","Drama","Horror","Sci-Fi","1 critic",NA,"Paul McGuigan",NA,NA,"Daniel Radcliffe","nm0705356","/name/nm0705356/","James McAvoy","nm0564215","/name/nm0564215/","Jessica Brown Findlay","nm3726887","/name/nm3726887/","
    Production Co:
        
Davis Entertainment,        
TSG Entertainment,        
Moving Picture Company (MPC)      
        See more »
      
    ",NA," 
  Show detailed
company contact information
  on 
  IMDbPro »
  ",NA,"","NA","0"
"The Good Dinosaur","tt1979388","http://www.imdb.com/title/tt1979388/","2015","7.7","301","100"," 25 November 2015
(USA)
","Animation","Adventure","Comedy","301","6","Peter Sohn",NA,NA,"Jeffrey Wright","nm0942482","/name/nm0942482/","Frances McDormand","nm0000531","/name/nm0000531/","Maleah Nipay-Padilla","nm5558187","/name/nm5558187/","
    Production Co:
        
Pixar Animation Studios,        
Walt Disney Pictures      
        See more »
      
    ",NA," 
  Show detailed
company contact information
  on 
  IMDbPro »
  ",NA,"","NA","0"
"The Night Before","tt3530002","http://www.imdb.com/title/tt3530002/","2015","7.6","718","101"," 20 November 2015
(USA)
","Comedy",NA,NA,"718","32","Jonathan Levine",NA,NA,"Joseph Gordon-Levitt","nm0330687","/name/nm0330687/","Seth Rogen","nm0736622","/name/nm0736622/","Jillian Bell","nm3255459","/name/nm3255459/","
    Production Co:
        
Columbia Pictures,        
Good Universe,        
LStar Capital      
        See more »
      
    ",NA," 
  Show detailed
company contact information
  on 
  IMDbPro »
  ",NA,"","NA","0"
"The Hunger Games: Mockingjay - Part 2","tt1951266","http://www.imdb.com/title/tt1951266/","2015","7.3","15335","137"," 20 November 2015
(USA)
","Adventure","Sci-Fi",NA,"15335","207","Francis Lawrence","/name/nm1349376","/name/nm1349376/","Jennifer Lawrence","nm2225369","/name/nm2225369/","Josh Hutcherson","nm1242688","/name/nm1242688/","Liam Hemsworth","nm2955013","/name/nm2955013/","
    Production Co:
        
Color Force,        
Lionsgate,        
Studio Babelsberg      
        See more »
      
    ",NA," 
  Show detailed
company contact information
  on 
  IMDbPro »
  ",NA,"","NA","0"
"Queen of the Desert","tt1837636","http://www.imdb.com/title/tt1837636/","2015","6.1","638","128"," 2016
(USA)
","Biography","Drama","History","638","70","Werner Herzog",NA,NA,"James Franco","nm0290556","/name/nm0290556/","Nicole Kidman","nm0000173","/name/nm0000173/","Robert Pattinson","nm1500155","/name/nm1500155/","18000000","USD","
    See more »
  ",NA,"","NA","0"
"Spectre","tt2379713","http://www.imdb.com/title/tt2379713/","2015","7.2","103047","148"," 6 November 2015
(USA)
","Action","Adventure","Thriller","103047","452","Sam Mendes",NA,NA,"Daniel Craig","nm0185819","/name/nm0185819/","Christoph Waltz","nm0910607","/name/nm0910607/","Léa Seydoux","nm2244205","/name/nm2244205/","245000000","USD","70403148","USD","137042589","USD","0"
"By the Sea","tt3707106","http://www.imdb.com/title/tt3707106/","2015","5.5","736","132"," 9 December 2015
(France)
","Drama","Romance",NA,"736","55","Angelina Jolie","/name/nm0001401","/name/nm0001401/","Brad Pitt","nm0000093","/name/nm0000093/","Angelina Jolie","nm0001401","/name/nm0001401/","Mélanie Laurent","nm0491259","/name/nm0491259/","10000000","USD","96250","USD","96250","USD","0"
"Love the Coopers","tt2279339","http://www.imdb.com/title/tt2279339/","2015","5.7","771","107"," 13 November 2015
(USA)
","Comedy",NA,NA,"771","46","Jessie Nelson",NA,NA,"Diane Keaton","nm0000473","/name/nm0000473/","John Goodman","nm0000422","/name/nm0000422/","Ed Helms","nm1159180","/name/nm1159180/","17000000","USD","8317545","USD","10451606","USD","0"
"Scouts Guide to the Zombie Apocalypse","tt1727776","http://www.imdb.com/title/tt1727776/","2015","6.5","2733","93"," 30 October 2015
(USA)
","Comedy","Horror",NA,"2733","95","Christopher Landon","/name/nm0484907","/name/nm0484907/","Tye Sheridan","nm4446467","/name/nm4446467/","Logan Miller","nm2383250","/name/nm2383250/","Joey Morgan","nm6368720","/name/nm6368720/","15000000","USD","1841007","USD","3635292","USD","0"
"Freaks of Nature","tt1817771","http://www.imdb.com/title/tt1817771/","2015","5.6","127","92"," 30 October 2015
(USA)
","Comedy","Horror",NA,"127",NA,"Robbie Pickering","/name/nm0681852","/name/nm0681852/","Nicholas Braun","nm1002609","/name/nm1002609/","Mackenzie Davis","nm4496875","/name/nm4496875/","Josh Fadem","nm1758915","/name/nm1758915/"," 
  Show detailed
company contact information
  on 
  IMDbPro »
  ",NA,"",NA,"Technical Specs","NA","0"
"Paranormal Activity: The Ghost Dimension","tt2473510","http://www.imdb.com/title/tt2473510/","2015","4.5","5073","88"," 23 October 2015
(USA)
","Horror",NA,NA,"5073","89","Gregory Plotkin",NA,NA,"Chris J. Murray","nm3042235","/name/nm3042235/","Brit Shaw","nm1787921","/name/nm1787921/","Ivy George","nm6386497","/name/nm6386497/","
    Opening Weekend:         $8,070,493        

      (USA)
      (23 October 2015)
    ",NA,"
    Gross:        $17,788,862        

      (USA)
      (13 November 2015)
    ",NA,"
    See more »
  ","NA","0"
"Rock the Kasbah","tt3164256","http://www.imdb.com/title/tt3164256/","2015","5.3","648","106"," 23 October 2015
(USA)
","Comedy","Music",NA,"648","53","Barry Levinson","/name/nm0001469","/name/nm0001469/","Bill Murray","nm0000195","/name/nm0000195/","Leem Lubany","nm5647588","/name/nm5647588/","Zooey Deschanel","nm0221046","/name/nm0221046/","
    Opening Weekend:         $1,470,592        

      (USA)
      (23 October 2015)
    ",NA,"
    Gross:        $2,858,691        

      (USA)
      (13 November 2015)
    ",NA,"
    See more »
  ","NA","0"
"The Peanuts Movie","tt2452042","http://www.imdb.com/title/tt2452042/","2015","8.0","3822","88"," 6 November 2015
(USA)
","Animation","Adventure","Comedy","3822","87","Steve Martino",NA,NA,"Noah Schnapp","nm6907855","/name/nm6907855/","Bill Melendez","nm0006837","/name/nm0006837/","Hadley Belle Miller","nm5295511","/name/nm5295511/","
    Opening Weekend:         $44,213,073        

      (USA)
      (6 November 2015)
    ",NA,"
    Gross:        $85,259,724        

      (USA)
      (18 November 2015)
    ",NA,"
    See more »
  ","NA","0"
"Momentum","tt3181776","http://www.imdb.com/title/tt3181776/","2015","5.5","3607","96"," 16 October 2015
(USA)
","Action","Thriller",NA,"3607","39","Stephen S. Campanelli",NA,NA,"Olga Kurylenko","nm1385871","/name/nm1385871/","James Purefoy","nm0700856","/name/nm0700856/","Morgan Freeman","nm0000151","/name/nm0000151/","
    See more »
  ",NA,"",NA,"Company Credits","NA","0"
"The Last Witch Hunter","tt1618442","http://www.imdb.com/title/tt1618442/","2015","6.1","12226","106"," 23 October 2015
(USA)
","Action","Adventure","Fantasy","12226","156","Breck Eisner",NA,NA,"Vin Diesel","nm0004874","/name/nm0004874/","Rose Leslie","nm3310211","/name/nm3310211/","Elijah Wood","nm0000704","/name/nm0000704/","90000000","USD","10812861","USD","26314853","USD","0"
"Miles Ahead","tt0790770","http://www.imdb.com/title/tt0790770/","2015","7.5","54","100"," 1 April 2016
(USA)
","Biography","Drama","Music","54","7","Don Cheadle",NA,NA,"Ewan McGregor","nm0000191","/name/nm0000191/","Michael Stuhlbarg","nm0836121","/name/nm0836121/","Don Cheadle","nm0000332","/name/nm0000332/","
    Production Co:
        
Bifrost Pictures,        
Crescendo Productions,        
Naked City Films      
        See more »
      
    ",NA," 
  Show detailed
company contact information
  on 
  IMDbPro »
  ",NA,"","NA","0"
"Macbeth","tt2884018","http://www.imdb.com/title/tt2884018/","2015","7.5","7141","113"," 4 December 2015
(USA)
","Drama","War",NA,"7141","141","Justin Kurzel",NA,NA,"Michael Fassbender","nm1055413","/name/nm1055413/","Elizabeth Debicki","nm4456120","/name/nm4456120/","Marion Cotillard","nm0182839","/name/nm0182839/","
    Production Co:
        
See-Saw Films,        
DMC Film      
        See more »
      
    ",NA," 
  Show detailed
company contact information
  on 
  IMDbPro »
  ",NA,"","NA","0"
"Pan","tt3332064","http://www.imdb.com/title/tt3332064/","2015","6.0","9812","111"," 9 October 2015
(USA)
","Adventure","Family","Fantasy","9812","218","Joe Wright",NA,NA,"Levi Miller","nm5920962","/name/nm5920962/","Hugh Jackman","nm0413168","/name/nm0413168/","Garrett Hedlund","nm1330560","/name/nm1330560/","150000000","USD","15315435","USD","33600184","USD","0"
"Night of the Living Dead: Darkest Dawn","tt1512222","http://www.imdb.com/title/tt1512222/","2015","4.5","129",NA," 5 October 2015
(USA)
","Animation","Horror",NA,"129",NA,"Warren Davis II","/name/nm3581036","/name/nm3581036/",NA,NA,NA,NA,NA,NA,NA,NA,NA," 
  Show detailed
company contact information
  on 
  IMDbPro »
  ",NA,NA,NA,NA,"NA","0"
"Bridge of Spies","tt3682448","http://www.imdb.com/title/tt3682448/","2015","8.1","18096","141"," 16 October 2015
(USA)
","Biography","Drama","History","18096","224","Steven Spielberg",NA,NA,"Tom Hanks","nm0000158","/name/nm0000158/","Mark Rylance","nm0753314","/name/nm0753314/","Alan Alda","nm0000257","/name/nm0000257/","40000000","USD","15371203","USD","62886856","USD","0"
"Goosebumps","tt1051904","http://www.imdb.com/title/tt1051904/","2015","7.0","7833","103"," 16 October 2015
(USA)
","Adventure","Comedy","Fantasy","7833","97","Rob Letterman",NA,NA,"Jack Black","nm0085312","/name/nm0085312/","Dylan Minnette","nm1910255","/name/nm1910255/","Odeya Rush","nm3843467","/name/nm3843467/","58000000","USD","23618556","USD","74106895","USD","0"
"Hell and Back","tt2141773","http://www.imdb.com/title/tt2141773/","2015","4.4","209","86"," 2 October 2015
(USA)
","Animation","Adventure","Comedy","209",NA,"Tom Gianas","/name/nm0795842","/name/nm0795842/","Nick Swardson","nm0841910","/name/nm0841910/","Mila Kunis","nm0005109","/name/nm0005109/","Bob Odenkirk","nm0644022","/name/nm0644022/","
    Gross:        $156,166        

      (USA)
      (9 October 2015)
    ",NA,"
    See more »
  ",NA,"","NA","0"
"Shanghai","tt1092634","http://www.imdb.com/title/tt1092634/","2010","6.5","7127","105"," 2 October 2015
(USA)
","Drama","Mystery","Romance","7127","52","Mikael Håfström",NA,NA,"John Cusack","nm0000131","/name/nm0000131/","Li Gong","nm0000084","/name/nm0000084/","Yun-Fat Chow","nm0000334","/name/nm0000334/","50000000","USD","26604","USD","44689","USD","0"
"Freeheld","tt1658801","http://www.imdb.com/title/tt1658801/","2015","6.2","709","103"," 5 November 2015
(Italy)
","Biography","Drama","Romance","709","63","Peter Sollett",NA,NA,"Julianne Moore","nm0000194","/name/nm0000194/","Ellen Page","nm0680983","/name/nm0680983/","Steve Carell","nm0136797","/name/nm0136797/","
    Opening Weekend:         $37,983        

      (USA)
      (2 October 2015)
    ",NA,"
    Gross:        $532,988        

      (USA)
      (6 November 2015)
    ",NA,"
    See more »
  ","NA","0"
"Bone Tomahawk","tt2494362","http://www.imdb.com/title/tt2494362/","2015","7.1","6690","132"," 23 October 2015
(USA)
","Horror","Western",NA,"6690","72","S. Craig Zahler","/name/nm0951975","/name/nm0951975/","Patrick Wilson","nm0933940","/name/nm0933940/","Kurt Russell","nm0000621","/name/nm0000621/","Sean Young","nm0000707","/name/nm0000707/","
    See more »
  ",NA,"",NA,"Company Credits","NA","0"
"Bone Tomahawk","tt2494362","http://www.imdb.com/title/tt2494362/","2015","7.1","6690","132"," 23 October 2015
(USA)
","Horror","Western",NA,"6690","72","S. Craig Zahler","/name/nm0951975","/name/nm0951975/","Patrick Wilson","nm0933940","/name/nm0933940/","Kurt Russell","nm0000621","/name/nm0000621/","Sean Young","nm0000707","/name/nm0000707/","
    See more »
  ",NA,"",NA,"Company Credits","NA","0"
"The Martian","tt3659388","http://www.imdb.com/title/tt3659388/","2015","8.2","169212","144"," 2 October 2015
(USA)
","Adventure","Drama","Sci-Fi","169212","467","Ridley Scott",NA,NA,"Matt Damon","nm0000354","/name/nm0000354/","Jessica Chastain","nm1567113","/name/nm1567113/","Kristen Wiig","nm1325419","/name/nm1325419/","108000000","USD","54308575","USD","208922337","USD","0"
"The Walk","tt3488710","http://www.imdb.com/title/tt3488710/","2015","7.7","19436","123"," 9 October 2015
(USA)
","Adventure","Biography","Drama","19436","255","Robert Zemeckis",NA,NA,"Joseph Gordon-Levitt","nm0330687","/name/nm0330687/","Charlotte Le Bon","nm3114649","/name/nm3114649/","Guillaume Baillargeon","nm2968773","/name/nm2968773/","35000000","USD","1560299","USD","10137502","USD","0"
"High-Rise","tt0462335","http://www.imdb.com/title/tt0462335/","2015","6.6","525","112"," 18 March 2016
(UK)
","Action","Drama","Sci-Fi","525","44","Ben Wheatley",NA,NA,"Tom Hiddleston","nm1089991","/name/nm1089991/","Jeremy Irons","nm0000460","/name/nm0000460/","Sienna Miller","nm1092227","/name/nm1092227/","",NA,"Technical Specs",NA,"
      Runtime: 
        112 min
    ","NA","0"
"The Disappointments Room","tt2364897","http://www.imdb.com/title/tt2364897/","2015","7.4","17",NA," 25 September 2015
(Poland)
","Drama","Thriller",NA,"17",NA,"Wentworth Miller",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Technical Specs",NA,"
    Color:
        Color
    ","NA","0"
"Mission to Lars","tt1865450","http://www.imdb.com/title/tt1865450/","2012","6.6","818","74"," 25 September 2015
(USA)
","Documentary","Adventure","Biography","818","15","Kate Spicer","/name/nm4374146","/name/nm4374146/",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Technical Specs",NA,"
      Runtime: 
        74 min
    ",NA,"
    Color:
        Color
    ","NA","0"
"Crimson Peak","tt2554274","http://www.imdb.com/title/tt2554274/","2015","6.9","32207","119"," 16 October 2015
(USA)
","Drama","Fantasy","Horror","32207","321","Guillermo del Toro",NA,NA,"Mia Wasikowska","nm1985859","/name/nm1985859/","Jessica Chastain","nm1567113","/name/nm1567113/","Tom Hiddleston","nm1089991","/name/nm1089991/","55000000","USD","13143310","USD","30828975","USD","0"
"Everest","tt2719848","http://www.imdb.com/title/tt2719848/","2015","7.2","58499","121"," 25 September 2015
(USA)
","Adventure","Biography","Drama","58499","303","Baltasar Kormákur",NA,NA,"Jason Clarke","nm0164809","/name/nm0164809/","Ang Phula Sherpa","nm7583273","/name/nm7583273/","Thomas M. Wright","nm0942876","/name/nm0942876/","55000000","USD","7222035","USD","43071085","USD","0"
"The Intern","tt2361509","http://www.imdb.com/title/tt2361509/","2015","7.4","23754","121"," 25 September 2015
(USA)
","Comedy",NA,NA,"23754","182","Nancy Meyers",NA,NA,"Robert De Niro","nm0000134","/name/nm0000134/","Anne Hathaway","nm0004266","/name/nm0004266/","Rene Russo","nm0000623","/name/nm0000623/","35000000","USD","17728313","USD","73341892","USD","0"
"Maze Runner: The Scorch Trials","tt4046784","http://www.imdb.com/title/tt4046784/","2015","6.7","56537","132"," 18 September 2015
(USA)
","Action","Sci-Fi","Thriller","56537","219","Wes Ball",NA,NA,"Dylan O'Brien","nm3729721","/name/nm3729721/","Kaya Scodelario","nm2546012","/name/nm2546012/","Thomas Brodie-Sangster","nm1032473","/name/nm1032473/","61000000","USD","30316510","USD","80486504","USD","0"
"Sicario","tt3397884","http://www.imdb.com/title/tt3397884/","2015","8.0","43696","121"," 2 October 2015
(USA)
","Action","Crime","Drama","43696","371","Denis Villeneuve",NA,NA,"Emily Blunt","nm1289434","/name/nm1289434/","Josh Brolin","nm0000982","/name/nm0000982/","Benicio Del Toro","nm0001125","/name/nm0001125/","30000000","USD","401288","USD","45215311","USD","0"
"The Program","tt3083008","http://www.imdb.com/title/tt3083008/","2015","6.6","1176","103"," 16 September 2015
(France)
","Biography","Drama","Sport","1176","82","Stephen Frears",NA,NA,"Jesse Plemons","nm0687146","/name/nm0687146/","Ben Foster","nm0004936","/name/nm0004936/","Lee Pace","nm1195855","/name/nm1195855/","
    Production Co:
        
Anton Capital Entertainment (ACE),        
StudioCanal,        
Working Title Films      
        See more »
      
    ",NA," 
  Show detailed
company contact information
  on 
  IMDbPro »
  ",NA,"","NA","0"
"The Visit","tt3567288","http://www.imdb.com/title/tt3567288/","2015","6.4","26171","94"," 11 September 2015
(USA)
","Horror","Thriller",NA,"26171","287","M. Night Shyamalan","/name/nm0796117","/name/nm0796117/","Olivia DeJonge","nm4609822","/name/nm4609822/","Ed Oxenbould","nm4590837","/name/nm4590837/","Deanna Dunagan","nm0241759","/name/nm0241759/","5000000","USD","25427560","USD","64951155","USD","0"
"Beasts of No Nation","tt1365050","http://www.imdb.com/title/tt1365050/","2015","7.9","16672","137"," 16 October 2015
(USA)
","Drama","War",NA,"16672","129","Cary Joji Fukunaga","/name/nm1560977","/name/nm1560977/","Abraham Attah","nm6781688","/name/nm6781688/","Emmanuel Affadzi","nm7636995","/name/nm7636995/","Ricky Adelayitor","nm7636996","/name/nm7636996/","6000000","USD","51003","USD","83861","USD","0"
"Steve Jobs","tt2080374","http://www.imdb.com/title/tt2080374/","2015","7.7","12332","122"," 23 October 2015
(USA)
","Biography","Drama",NA,"12332","216","Danny Boyle","/name/nm0000965","/name/nm0000965/","Michael Fassbender","nm1055413","/name/nm1055413/","Kate Winslet","nm0000701","/name/nm0000701/","Seth Rogen","nm0736622","/name/nm0736622/","30000000","USD","521522","USD","17380253","USD","0"
"Equals","tt3289728","http://www.imdb.com/title/tt3289728/","2015","6.1","317","101"," 31 December 2015
(Argentina)
","Drama","Sci-Fi",NA,"317","22","Drake Doremus",NA,NA,"Kristen Stewart","nm0829576","/name/nm0829576/","Nicholas Hoult","nm0396558","/name/nm0396558/","Guy Pearce","nm0001602","/name/nm0001602/"," 
  Show detailed
company contact information
  on 
  IMDbPro »
  ",NA,"",NA,"Technical Specs","NA","0"
"Carol","tt2402927","http://www.imdb.com/title/tt2402927/","2015","7.3","2300","118"," 20 November 2015
(USA)
","Drama","Romance",NA,"2300","105","Todd Haynes","/name/nm0001331","/name/nm0001331/","Cate Blanchett","nm0000949","/name/nm0000949/","Rooney Mara","nm1913734","/name/nm1913734/","Sarah Paulson","nm0005299","/name/nm0005299/","
    Production Co:
        
Number 9 Films,        
Film4,        
Killer Films      
        See more »
      
    ",NA," 
  Show detailed
company contact information
  on 
  IMDbPro »
  ",NA,"","NA","0"
"The Transporter Refueled","tt2938956","http://www.imdb.com/title/tt2938956/","2015","4.9","9362","96"," 4 September 2015
(USA)
","Action","Crime","Thriller","9362","124","Camille Delamarre",NA,NA,"Ed Skrein","nm4534098","/name/nm4534098/","Loan Chabanol","nm5307742","/name/nm5307742/","Ray Stevenson","nm0829032","/name/nm0829032/","
    Opening Weekend:         $7,130,000        

      (USA)
      (4 September 2015)
    ",NA,"
    Gross:        $16,027,866        

      (USA)
      (13 November 2015)
    ",NA,"
    See more »
  ","NA","0"
"The Curse of Downers Grove","tt1772261","http://www.imdb.com/title/tt1772261/","2015","4.5","735","90"," 21 August 2015
(USA)
","Drama","Horror","Mystery","735","27","Bret Easton Ellis","/name/nm0254735","/name/nm0254735/",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"Company Credits",NA,"
    Production Co:
        
AliBella Pictures,        
Bystander Films,        
Management Production Entertainment (MPE)      
        See more »
      
    ","NA","0"
"Sinister 2","tt2752772","http://www.imdb.com/title/tt2752772/","2015","5.4","8687","97"," 21 August 2015
(USA)
","Horror","Mystery","Thriller","8687","144","Ciarán Foy",NA,NA,"James Ransone","nm0710447","/name/nm0710447/","Shannyn Sossamon","nm0815370","/name/nm0815370/","Robert Daniel Sloan","nm3625321","/name/nm3625321/","10000000","USD","10542116","USD","27736779","USD","0"
"The Man from U.N.C.L.E.","tt1638355","http://www.imdb.com/title/tt1638355/","2015","7.4","82626","116"," 14 August 2015
(USA)
","Action","Adventure","Comedy","82626","312","Guy Ritchie",NA,NA,"Henry Cavill","nm0147147","/name/nm0147147/","Armie Hammer","nm2309517","/name/nm2309517/","Alicia Vikander","nm2539953","/name/nm2539953/","75000000","USD","13535000","USD","45434443","USD","0"
"Hitman: Agent 47","tt2679042","http://www.imdb.com/title/tt2679042/","2015","5.8","29715","96"," 21 August 2015
(USA)
","Action","Crime","Thriller","29715","163","Aleksander Bach",NA,NA,"Rupert Friend","nm1670029","/name/nm1670029/","Hannah Ware","nm3799669","/name/nm3799669/","Zachary Quinto","nm0704270","/name/nm0704270/","35000000","USD","8326530","USD","22464430","USD","0"
